brand,model,year,km_driven,fuel,transmission,owner,engine,max_power,seats,selling_price
Toyota,RAV4,2014,58945,Diesel,Manual,Third Owner,1416,344,4,1652672
Mercedes,E200,2014,124944,Petrol,Automatic,Third Owner,3004,340,7,3316123
Mercedes,GLA,2020,165250,Diesel,Manual,Second Owner,2441,304,7,3307020
BMW,X3,2017,245827,Hybrid,Manual,Third Owner,1548,230,4,2863971
BMW,X5,2011,52984,Diesel,Manual,Third Owner,2591,284,7,3188949
BMW,X3,2020,115897,Petrol,Automatic,Third Owner,3201,400,4,3926297
Kia,Rio,2023,80716,Petrol,Manual,Second Owner,2847,387,4,2259293
Ford,Mondeo,2008,132037,Petrol,Manual,Second Owner,3300,328,7,1402718
Hyundai,Sonata,2023,113955,Hybrid,Automatic,Second Owner,1685,112,7,2016779
Toyota,Corolla,2017,13570,Diesel,Manual,Third Owner,2182,156,5,1455601
Kia,Cerato,2023,149107,Hybrid,Manual,Third Owner,1467,207,7,1766002
Ford,Mondeo,2009,204230,Hybrid,Automatic,Third Owner,1895,287,4,1579843
Volkswagen,Tiguan,2015,83042,Petrol,Automatic,Second Owner,2427,114,5,1469710
Ford,Focus,2015,60018,Hybrid,Automatic,Third Owner,3499,393,5,2561272
BMW,X3,2012,210743,Petrol,Manual,First Owner,3335,249,7,2730608
Mercedes,GLA,2013,89843,Hybrid,Automatic,Second Owner,3345,206,7,3521871
Volkswagen,Passat,2012,201632,Diesel,Manual,Second Owner,3686,134,7,867423
Ford,Focus,2015,43336,Hybrid,Automatic,First Owner,3769,271,5,2195058
BMW,X3,2016,169577,Diesel,Automatic,Second Owner,1309,394,4,3234429
Hyundai,Tucson,2016,187112,Diesel,Automatic,Second Owner,2340,367,4,1862258
Ford,Kuga,2010,196609,Diesel,Automatic,First Owner,3189,273,4,1514268
Hyundai,Elantra,2023,75395,Diesel,Automatic,Second Owner,3241,365,4,2819163
Kia,Sportage,2018,239397,Hybrid,Manual,First Owner,1407,390,5,2035904
Toyota,Corolla,2013,120680,Diesel,Manual,Second Owner,1828,137,7,1001349
Mercedes,C200,2016,29468,Hybrid,Automatic,Second Owner,1337,260,7,3588761
Volkswagen,Passat,2009,108898,Hybrid,Automatic,Third Owner,3864,189,5,1633924
Volkswagen,Passat,2011,5284,Petrol,Automatic,First Owner,1543,373,4,1900605
Kia,Cerato,2022,7434,Petrol,Automatic,First Owner,2729,137,5,1993683
Toyota,Corolla,2020,28417,Hybrid,Manual,First Owner,2283,258,5,2279023
BMW,X5,2012,173185,Hybrid,Manual,First Owner,3172,358,4,3300345
Kia,Cerato,2013,120369,Diesel,Manual,Third Owner,1620,280,7,1430163
Volkswagen,Polo,2014,27724,Petrol,Manual,First Owner,3414,266,5,2051562
Hyundai,Sonata,2012,69955,Diesel,Manual,First Owner,3266,377,7,1876175
Volkswagen,Tiguan,2017,209202,Hybrid,Manual,Third Owner,2235,175,7,1564602
Kia,Cerato,2014,201042,Diesel,Automatic,Third Owner,1223,192,5,1264887
Hyundai,Elantra,2015,135962,Hybrid,Manual,Third Owner,1049,254,5,1510242
BMW,X5,2021,100790,Hybrid,Manual,Second Owner,1298,78,7,3071733
Toyota,Corolla,2016,61555,Petrol,Manual,Second Owner,3075,216,7,1680028
Volkswagen,Tiguan,2021,116037,Hybrid,Automatic,First Owner,3623,344,7,2736027
Kia,Rio,2016,26914,Diesel,Manual,Third Owner,1832,149,7,1277520
Mercedes,E200,2010,86309,Hybrid,Automatic,Third Owner,1977,99,4,2875108
Toyota,Camry,2011,123848,Hybrid,Manual,Second Owner,3728,159,4,1633703
Toyota,RAV4,2012,188893,Petrol,Manual,Second Owner,2420,337,7,1645385
Ford,Kuga,2016,48768,Diesel,Manual,Third Owner,2100,130,4,1486354
Mercedes,E200,2016,142325,Petrol,Automatic,Third Owner,3361,391,4,4019977
Hyundai,Sonata,2024,99404,Petrol,Automatic,Third Owner,1683,258,4,1983539
Mercedes,C200,2011,64874,Hybrid,Manual,First Owner,1050,195,4,2996100
Hyundai,Sonata,2020,246231,Petrol,Manual,First Owner,3264,284,4,1734639
Mercedes,C200,2021,245085,Hybrid,Automatic,Second Owner,1319,362,5,3991150
Toyota,RAV4,2009,52014,Petrol,Manual,Second Owner,1282,308,5,1187027
Ford,Mondeo,2018,27645,Hybrid,Automatic,First Owner,2511,172,5,2025401
Kia,Sportage,2015,126615,Diesel,Automatic,First Owner,4000,349,4,2079361
BMW,320,2021,11267,Petrol,Automatic,Third Owner,3840,74,5,3169881
Toyota,RAV4,2020,227561,Hybrid,Automatic,First Owner,1840,341,4,2094514
Hyundai,Sonata,2009,42322,Hybrid,Automatic,First Owner,1179,188,7,1398336
Hyundai,Tucson,2019,125182,Hybrid,Manual,Third Owner,1391,328,4,2050845
Volkswagen,Polo,2010,160161,Hybrid,Manual,Second Owner,3713,136,4,1427891
Mercedes,E200,2018,247756,Diesel,Automatic,Second Owner,2854,209,4,3336513
Toyota,Corolla,2012,209455,Hybrid,Manual,First Owner,1432,154,5,1223453
Hyundai,Sonata,2021,36650,Hybrid,Automatic,First Owner,2851,227,5,2385314
Mercedes,C200,2010,46317,Hybrid,Automatic,Third Owner,3854,378,4,3795703
BMW,X5,2012,28910,Hybrid,Manual,Second Owner,2623,332,4,3639417
Volkswagen,Polo,2016,219981,Petrol,Manual,Second Owner,2852,354,7,1474803
Kia,Rio,2011,126121,Petrol,Manual,First Owner,1048,101,4,982176
BMW,320,2020,102580,Hybrid,Manual,Third Owner,3400,202,4,3786756
Toyota,Corolla,2014,241583,Hybrid,Automatic,First Owner,1376,239,4,1450357
Toyota,Camry,2009,49037,Hybrid,Automatic,Third Owner,2617,324,4,1797505
Hyundai,Tucson,2021,50300,Diesel,Manual,First Owner,2126,213,5,2003880
BMW,320,2015,174680,Diesel,Automatic,Second Owner,3255,315,4,3359209
Toyota,Camry,2020,40975,Diesel,Manual,Third Owner,3153,197,7,2069172
Ford,Kuga,2008,105269,Hybrid,Automatic,Second Owner,3230,318,5,1729797
Kia,Cerato,2018,106811,Diesel,Manual,First Owner,2306,375,4,1879871
Toyota,Camry,2009,216983,Diesel,Automatic,Third Owner,1953,151,4,887270
BMW,X3,2015,74868,Hybrid,Manual,First Owner,3358,268,5,3581011
Ford,Focus,2013,67010,Hybrid,Automatic,Third Owner,3857,253,7,2159520
Toyota,RAV4,2019,153806,Hybrid,Manual,Third Owner,1771,322,7,2106465
Mercedes,C200,2023,14951,Petrol,Manual,First Owner,3464,182,4,3434554
Kia,Sportage,2008,91962,Hybrid,Manual,First Owner,2395,160,5,1253969
Toyota,Corolla,2012,158776,Hybrid,Manual,First Owner,3155,256,4,1713742
Mercedes,GLA,2020,158620,Petrol,Automatic,Second Owner,2321,139,4,3155575
Volkswagen,Polo,2023,175178,Diesel,Manual,Third Owner,3301,384,5,2361536
BMW,X3,2013,104191,Diesel,Automatic,First Owner,1727,70,7,2406971
Kia,Sportage,2009,52731,Hybrid,Automatic,Third Owner,1904,397,7,1892520
Toyota,Camry,2012,91813,Hybrid,Manual,First Owner,2420,233,4,1853525
Volkswagen,Passat,2018,122081,Petrol,Automatic,First Owner,2022,104,5,1468985
Mercedes,C200,2008,17621,Diesel,Automatic,Third Owner,2718,155,5,2747685
Hyundai,Sonata,2019,148136,Diesel,Manual,Second Owner,3367,185,4,1853950
Hyundai,Elantra,2009,82308,Petrol,Automatic,Second Owner,1428,107,5,984435
BMW,X5,2013,196885,Petrol,Manual,Second Owner,3433,384,5,3408074
Volkswagen,Passat,2021,176346,Petrol,Automatic,First Owner,1219,121,5,1392785
BMW,320,2021,187765,Hybrid,Automatic,Third Owner,2153,222,4,3861532
Toyota,Corolla,2020,154886,Hybrid,Automatic,First Owner,1223,254,4,2271979
Hyundai,Elantra,2017,220979,Hybrid,Automatic,First Owner,1397,83,4,1287747
BMW,X3,2017,26479,Diesel,Manual,Second Owner,2628,311,5,3614477
Volkswagen,Polo,2010,173261,Hybrid,Automatic,First Owner,2519,265,5,1790634
BMW,X5,2009,74021,Diesel,Automatic,Second Owner,1926,207,7,3013652
Toyota,Corolla,2011,27467,Hybrid,Automatic,Third Owner,2695,371,4,2182077
Kia,Rio,2020,219540,Hybrid,Automatic,Third Owner,3814,313,7,2518427
BMW,X5,2017,25697,Diesel,Manual,Third Owner,3339,334,7,3793219
Volkswagen,Tiguan,2012,36531,Diesel,Manual,First Owner,1867,168,4,963177
Toyota,Camry,2010,184077,Diesel,Manual,Third Owner,1605,374,5,1130107
Mercedes,GLA,2010,27813,Diesel,Automatic,Third Owner,2335,211,7,2716239
Hyundai,Elantra,2024,209914,Diesel,Manual,Second Owner,1612,145,7,1344060
Kia,Cerato,2011,247464,Petrol,Manual,Second Owner,3193,246,5,1256653
Mercedes,E200,2023,154952,Hybrid,Automatic,First Owner,1705,211,5,3848699
BMW,X3,2020,15166,Diesel,Automatic,Third Owner,1973,95,7,3214232
Hyundai,Sonata,2019,10303,Diesel,Automatic,Second Owner,2148,321,7,2498386
Volkswagen,Passat,2015,40228,Diesel,Automatic,Second Owner,2103,283,7,1685478
Volkswagen,Passat,2014,120793,Petrol,Automatic,Third Owner,2984,334,5,1685506
Ford,Focus,2024,212484,Petrol,Manual,Second Owner,3906,329,5,2175099
BMW,X3,2008,50544,Petrol,Manual,First Owner,2021,86,5,2374671
Toyota,Camry,2014,76821,Diesel,Automatic,Third Owner,2625,395,4,2122703
Volkswagen,Passat,2015,102639,Diesel,Automatic,First Owner,2943,370,7,1801055
Mercedes,E200,2013,224585,Diesel,Manual,Second Owner,1112,267,4,2521761
BMW,X3,2014,229686,Petrol,Manual,Third Owner,1846,207,7,2339357
Hyundai,Tucson,2008,231657,Hybrid,Manual,Second Owner,1541,158,7,963286
Ford,Focus,2015,71162,Hybrid,Automatic,Third Owner,3905,399,5,2745915
Hyundai,Sonata,2019,125323,Diesel,Manual,Second Owner,2237,336,7,1733922
Hyundai,Tucson,2011,6926,Hybrid,Automatic,Third Owner,3651,374,7,2441717
Mercedes,E200,2011,131284,Petrol,Automatic,Second Owner,3623,236,5,2961999
Mercedes,GLA,2017,54377,Petrol,Manual,First Owner,3457,276,7,3440394
Mercedes,GLA,2012,194080,Petrol,Automatic,Second Owner,2062,284,5,3074411
Hyundai,Tucson,2009,157836,Hybrid,Manual,Second Owner,3975,183,7,1340219
Kia,Cerato,2023,242640,Hybrid,Automatic,Third Owner,2229,157,7,1967176
Kia,Rio,2017,30586,Diesel,Manual,Third Owner,2059,356,4,1908139
Volkswagen,Polo,2010,63262,Diesel,Manual,Third Owner,2257,285,5,1305595
Mercedes,E200,2017,126572,Petrol,Automatic,First Owner,3598,368,7,3740501
Kia,Rio,2023,238157,Petrol,Manual,Third Owner,2563,341,5,1755349
Hyundai,Elantra,2012,41009,Petrol,Automatic,Second Owner,3332,304,4,1894734
Mercedes,GLA,2013,209194,Petrol,Automatic,Second Owner,3584,160,5,2689530
Volkswagen,Passat,2008,123503,Diesel,Manual,First Owner,3360,151,5,1329202
Ford,Focus,2012,166082,Diesel,Automatic,Second Owner,2757,314,5,1671675
Toyota,Corolla,2014,196537,Diesel,Manual,Second Owner,3175,167,4,1095717
Volkswagen,Passat,2015,64314,Hybrid,Automatic,Second Owner,1528,122,5,1687668
Kia,Cerato,2017,48783,Petrol,Manual,Second Owner,2191,303,7,1821734
Kia,Cerato,2024,93561,Diesel,Manual,Second Owner,3007,253,4,2063282
BMW,X5,2008,64878,Petrol,Manual,First Owner,1089,371,7,2953219
BMW,320,2019,191413,Hybrid,Manual,Second Owner,3622,200,7,3524100
Kia,Rio,2009,178531,Petrol,Manual,First Owner,3825,129,5,909612
Hyundai,Sonata,2011,148466,Diesel,Automatic,Third Owner,1627,175,7,1048245
Volkswagen,Tiguan,2008,83935,Diesel,Manual,Third Owner,3131,208,7,1180522
Kia,Cerato,2012,114792,Petrol,Manual,Second Owner,1466,124,5,555027
BMW,X3,2014,208937,Diesel,Manual,Second Owner,3881,279,5,2834497
BMW,320,2023,243644,Petrol,Automatic,Second Owner,1960,71,4,3039243
Volkswagen,Passat,2011,223951,Hybrid,Automatic,First Owner,1368,331,4,1881543
Volkswagen,Tiguan,2011,242182,Diesel,Manual,Second Owner,2212,205,5,872580
Toyota,Corolla,2013,234150,Petrol,Automatic,Second Owner,3772,230,5,1608983
Volkswagen,Passat,2011,228149,Petrol,Manual,First Owner,3717,157,5,1090439
Mercedes,E200,2016,235287,Hybrid,Manual,Second Owner,2403,163,4,3359208
Hyundai,Sonata,2022,76259,Diesel,Automatic,Second Owner,3657,155,4,2251468
BMW,X3,2009,226341,Petrol,Manual,Second Owner,3419,317,7,2783480
Volkswagen,Polo,2013,165254,Diesel,Automatic,Third Owner,1118,136,5,883860
Hyundai,Elantra,2021,120523,Petrol,Manual,Second Owner,3682,230,4,1695287
Volkswagen,Tiguan,2024,206203,Hybrid,Manual,Third Owner,2385,335,7,2313363
Volkswagen,Tiguan,2011,118468,Hybrid,Manual,Second Owner,2416,398,5,1857011
BMW,X3,2009,8052,Hybrid,Manual,Third Owner,2922,323,4,3266357
Toyota,Camry,2018,68148,Diesel,Automatic,First Owner,3076,184,7,1788118
Volkswagen,Polo,2020,219198,Petrol,Manual,Second Owner,2819,363,5,1729721
Toyota,Camry,2022,87853,Petrol,Automatic,Third Owner,3676,79,4,2126265
Hyundai,Sonata,2009,151048,Hybrid,Manual,First Owner,3474,386,7,2066249
Mercedes,GLA,2014,176598,Hybrid,Automatic,Second Owner,2488,97,4,2961308
Ford,Mondeo,2018,151840,Hybrid,Automatic,Third Owner,3691,256,7,2511961
Hyundai,Elantra,2011,204051,Hybrid,Manual,First Owner,2398,251,7,1440703
Ford,Mondeo,2024,103013,Hybrid,Manual,First Owner,1672,322,4,2220581
Ford,Kuga,2021,33039,Diesel,Manual,First Owner,1494,271,4,2113990
Hyundai,Elantra,2018,33250,Diesel,Manual,Third Owner,3753,371,4,2404786
Ford,Mondeo,2022,177610,Hybrid,Manual,Second Owner,1017,341,7,1894243
Toyota,RAV4,2021,224890,Hybrid,Automatic,Third Owner,1725,366,4,2245419
Volkswagen,Passat,2011,106556,Hybrid,Automatic,Third Owner,2575,284,7,1801795
Volkswagen,Passat,2016,109299,Diesel,Automatic,Second Owner,1546,140,5,1155882
Kia,Cerato,2024,83358,Hybrid,Automatic,Third Owner,3267,393,4,3144760
BMW,320,2017,184991,Diesel,Manual,Third Owner,3662,161,7,3218230
Kia,Cerato,2018,191214,Petrol,Automatic,Third Owner,2967,368,7,1872836
Volkswagen,Tiguan,2021,181748,Hybrid,Automatic,Second Owner,1052,337,4,2271249
Toyota,Camry,2012,18910,Hybrid,Manual,First Owner,2093,152,5,1458533
Volkswagen,Polo,2012,225038,Petrol,Automatic,First Owner,3216,86,5,974255
Ford,Mondeo,2011,166509,Hybrid,Manual,Third Owner,3650,357,5,1868122
BMW,X3,2017,186649,Hybrid,Manual,Second Owner,2587,283,7,3242653
Mercedes,GLA,2009,8398,Hybrid,Automatic,First Owner,3541,296,4,3711632
Volkswagen,Tiguan,2019,202946,Hybrid,Manual,Third Owner,1792,220,5,1538265
BMW,X3,2010,54014,Petrol,Manual,Second Owner,1166,289,5,2829940
Kia,Sportage,2012,47186,Hybrid,Automatic,First Owner,2353,308,7,2121042
BMW,320,2012,248434,Diesel,Manual,Third Owner,3521,224,5,2655439
Ford,Kuga,2019,24105,Hybrid,Automatic,Third Owner,1900,164,7,1960655
Toyota,RAV4,2013,114033,Hybrid,Automatic,First Owner,2431,183,4,1657568
Volkswagen,Polo,2018,99580,Diesel,Manual,Third Owner,3172,313,7,2072448
Ford,Kuga,2008,35073,Hybrid,Automatic,Second Owner,1984,398,7,2197591
Kia,Rio,2009,183926,Diesel,Automatic,First Owner,2580,201,7,1025014
Volkswagen,Polo,2008,243901,Hybrid,Automatic,Third Owner,3083,298,5,1634547
Toyota,Camry,2014,88968,Hybrid,Manual,First Owner,1685,345,7,2050022
Toyota,RAV4,2010,60255,Hybrid,Manual,Third Owner,2737,123,4,1147129
Kia,Cerato,2021,174492,Petrol,Manual,First Owner,2880,239,4,1812020
Toyota,Corolla,2009,51659,Diesel,Manual,Third Owner,1932,202,5,1042088
Hyundai,Sonata,2020,118514,Diesel,Manual,Second Owner,3757,130,7,1737111
Toyota,RAV4,2010,203170,Hybrid,Manual,Third Owner,1297,253,7,1106221
Toyota,Camry,2017,164007,Petrol,Automatic,Second Owner,2562,272,7,1515553
Toyota,Camry,2013,144845,Petrol,Manual,Third Owner,2601,349,5,1378828
Volkswagen,Passat,2017,182547,Hybrid,Automatic,First Owner,3267,354,4,2367168
Toyota,Corolla,2008,155134,Hybrid,Automatic,Third Owner,3242,113,5,1397490
BMW,X3,2019,60505,Diesel,Manual,First Owner,1753,183,7,2913792
Ford,Mondeo,2014,35047,Petrol,Manual,Third Owner,2889,400,7,2159044
Toyota,Camry,2010,70716,Petrol,Manual,Third Owner,3378,319,5,1413539
Mercedes,C200,2015,31226,Diesel,Manual,First Owner,2301,318,5,3317786
Mercedes,GLA,2017,186785,Hybrid,Manual,Third Owner,3321,256,5,3232927
Hyundai,Elantra,2008,87107,Petrol,Manual,Third Owner,3624,293,5,1404110
Ford,Mondeo,2012,183147,Hybrid,Automatic,Second Owner,2895,298,5,1920065
Ford,Mondeo,2023,149617,Petrol,Manual,Third Owner,3484,111,5,1521803
Ford,Focus,2014,74005,Hybrid,Manual,Third Owner,1308,79,7,1188006
Volkswagen,Passat,2020,206641,Hybrid,Manual,First Owner,3259,203,7,2034011
Kia,Sportage,2012,100897,Diesel,Manual,Third Owner,2191,138,5,985322
Kia,Cerato,2010,109014,Diesel,Manual,Third Owner,1978,384,7,1664025
BMW,X3,2012,121974,Petrol,Manual,Third Owner,3317,144,7,2544145
Volkswagen,Polo,2019,15595,Petrol,Automatic,First Owner,1257,205,5,1899330
BMW,320,2014,140760,Diesel,Automatic,Second Owner,2862,93,4,2996515
Volkswagen,Polo,2011,189480,Hybrid,Automatic,Third Owner,2078,366,7,1526993
Kia,Rio,2020,176357,Diesel,Automatic,Third Owner,3676,109,7,1551651
Mercedes,E200,2015,140363,Diesel,Automatic,Second Owner,2994,316,7,3494934
Toyota,RAV4,2012,120316,Petrol,Manual,First Owner,3107,399,5,1792461
BMW,320,2013,46250,Diesel,Manual,Third Owner,1943,282,5,3109621
Volkswagen,Passat,2023,182007,Diesel,Automatic,First Owner,3419,152,7,1788238
Ford,Mondeo,2008,68876,Petrol,Manual,Third Owner,3426,152,4,1169136
Volkswagen,Tiguan,2009,238517,Hybrid,Manual,First Owner,1681,202,4,1006764
Kia,Sportage,2008,235295,Hybrid,Automatic,First Owner,1887,299,7,1635127
Hyundai,Sonata,2013,62504,Diesel,Manual,Third Owner,1744,389,7,1797255
Kia,Sportage,2013,194841,Hybrid,Automatic,Second Owner,3443,372,4,2257408
BMW,X5,2020,39658,Petrol,Manual,First Owner,3141,328,7,3650052
Hyundai,Elantra,2011,51510,Diesel,Manual,Third Owner,3061,130,4,1157989
Hyundai,Tucson,2012,241449,Hybrid,Manual,Third Owner,3659,290,7,1626068
Hyundai,Sonata,2009,187882,Hybrid,Automatic,First Owner,2974,265,5,1742003
Kia,Cerato,2011,116539,Petrol,Automatic,Second Owner,1952,112,5,1026574
Kia,Cerato,2021,72582,Petrol,Manual,Third Owner,1029,365,7,2015152
Toyota,RAV4,2008,103311,Hybrid,Manual,Third Owner,2293,279,5,1846138
Toyota,Corolla,2021,175806,Hybrid,Automatic,Second Owner,3195,286,7,2523306
Mercedes,GLA,2016,183416,Diesel,Manual,Second Owner,3261,355,5,3260914
BMW,X5,2023,71526,Diesel,Automatic,Third Owner,2630,140,7,3631630
Toyota,RAV4,2015,122072,Hybrid,Manual,First Owner,1878,330,5,1851344
Ford,Mondeo,2009,47136,Diesel,Manual,First Owner,1595,311,7,1066759
Hyundai,Elantra,2010,73967,Petrol,Automatic,First Owner,3494,89,7,1147453
Hyundai,Sonata,2024,80096,Hybrid,Manual,First Owner,3622,323,5,2409989
Toyota,Corolla,2024,79974,Petrol,Manual,Third Owner,3091,334,7,2285974
BMW,X3,2013,181691,Petrol,Automatic,First Owner,3682,70,4,2716680
Toyota,Camry,2020,97570,Hybrid,Automatic,Second Owner,3400,172,7,2496325
Toyota,RAV4,2010,245956,Petrol,Automatic,Third Owner,3290,368,5,1670627
Mercedes,E200,2015,163954,Petrol,Automatic,Second Owner,3354,72,5,2772326
BMW,X5,2024,32909,Hybrid,Manual,Third Owner,2205,244,4,3999342
Ford,Kuga,2016,234667,Hybrid,Automatic,Third Owner,2813,263,7,1578445
Hyundai,Elantra,2018,208318,Diesel,Automatic,Third Owner,1112,316,4,1675506
Mercedes,C200,2020,171110,Petrol,Manual,Second Owner,2689,250,7,3301759
Kia,Rio,2016,70079,Diesel,Manual,Second Owner,3759,245,4,1614404
Kia,Rio,2023,87279,Diesel,Manual,Third Owner,2102,163,7,1869805
Volkswagen,Passat,2023,198229,Petrol,Manual,Third Owner,1991,205,4,1615466
BMW,320,2015,224240,Hybrid,Automatic,First Owner,1436,131,4,2782126
Volkswagen,Tiguan,2023,165911,Petrol,Manual,Second Owner,2520,387,5,2258595
Hyundai,Tucson,2016,133661,Petrol,Automatic,Second Owner,1909,365,4,2272131
Toyota,RAV4,2021,130388,Hybrid,Manual,Third Owner,2422,271,7,2157303
Ford,Focus,2022,36553,Hybrid,Automatic,Second Owner,3823,74,4,2322577
Volkswagen,Passat,2020,157307,Petrol,Automatic,Second Owner,3509,202,4,1847831
Kia,Sportage,2015,75623,Diesel,Automatic,Second Owner,1753,325,5,1746727
BMW,X5,2019,100703,Diesel,Automatic,Second Owner,1736,362,4,3738544
Kia,Cerato,2015,218435,Petrol,Automatic,First Owner,3274,291,5,1603317
BMW,320,2012,128990,Petrol,Manual,Second Owner,3046,138,7,2654654
Kia,Cerato,2018,210870,Diesel,Automatic,Second Owner,3302,360,4,2001911
Hyundai,Elantra,2013,20738,Petrol,Automatic,Second Owner,3579,119,5,1714720
Volkswagen,Polo,2016,99624,Diesel,Automatic,Second Owner,1081,280,4,1712951
Mercedes,GLA,2014,156218,Hybrid,Manual,Second Owner,2454,236,7,3301294
Kia,Sportage,2022,238211,Petrol,Automatic,Third Owner,2173,307,7,1840525
BMW,320,2018,115576,Hybrid,Automatic,First Owner,1324,152,5,3206966
BMW,X5,2018,176183,Diesel,Automatic,Third Owner,3640,272,5,3326819
Hyundai,Sonata,2024,123040,Diesel,Manual,First Owner,1094,134,7,1386376
BMW,X3,2016,200002,Hybrid,Manual,First Owner,1683,273,4,3191541
Toyota,Corolla,2023,148768,Petrol,Manual,Second Owner,3146,112,4,1717912
Mercedes,GLA,2012,27101,Hybrid,Automatic,Second Owner,1939,196,7,3188323
Mercedes,E200,2012,39413,Hybrid,Manual,First Owner,1143,252,5,3253064
Ford,Mondeo,2022,233300,Hybrid,Automatic,Third Owner,2822,139,7,2107545
Kia,Rio,2022,170425,Hybrid,Automatic,Third Owner,3620,397,7,2856665
Mercedes,E200,2023,146470,Petrol,Manual,Second Owner,2261,257,5,3620229
Mercedes,C200,2017,7767,Petrol,Manual,Second Owner,2174,310,7,3319497
Toyota,RAV4,2023,203042,Diesel,Automatic,First Owner,2763,219,7,1719167
BMW,320,2019,54432,Diesel,Automatic,Second Owner,2023,153,7,2960277
Volkswagen,Tiguan,2020,222167,Diesel,Manual,Second Owner,1324,286,7,1693672
BMW,X3,2016,79626,Hybrid,Automatic,Second Owner,1770,105,4,3266902
BMW,X5,2011,171957,Diesel,Automatic,Second Owner,3869,388,5,3448098
BMW,X5,2008,44885,Petrol,Manual,First Owner,1418,214,5,2599925
BMW,X3,2022,195606,Petrol,Manual,First Owner,1617,77,5,2475014
BMW,X5,2021,86677,Diesel,Automatic,Second Owner,3854,86,5,3736608
Toyota,Corolla,2009,74862,Diesel,Manual,Third Owner,2925,162,4,1163409
Ford,Mondeo,2020,222121,Petrol,Manual,Third Owner,2019,267,5,1542517
BMW,X3,2009,57213,Diesel,Manual,Third Owner,3727,176,5,2943488
Hyundai,Tucson,2017,89689,Petrol,Manual,Third Owner,3251,336,4,2070423
Mercedes,E200,2017,57094,Diesel,Manual,Third Owner,1892,127,4,2870694
Volkswagen,Polo,2018,8949,Petrol,Automatic,Third Owner,1490,272,4,1867030
Toyota,Corolla,2023,185461,Hybrid,Manual,Second Owner,1366,197,4,1847198
Hyundai,Elantra,2018,249016,Hybrid,Manual,First Owner,2456,400,4,2352671
Volkswagen,Tiguan,2011,37984,Diesel,Manual,Second Owner,3287,400,5,2168895
Ford,Mondeo,2014,10597,Hybrid,Automatic,Second Owner,3967,138,5,2357833
Toyota,Camry,2022,151544,Diesel,Automatic,First Owner,3321,165,7,1830879
Mercedes,E200,2022,77174,Hybrid,Manual,First Owner,3175,149,5,3445961
Mercedes,E200,2019,124034,Petrol,Automatic,Third Owner,1759,79,7,2844413
Ford,Mondeo,2015,89068,Hybrid,Manual,Third Owner,3207,268,4,2031272
Kia,Cerato,2023,205732,Hybrid,Manual,Third Owner,2159,235,5,2114014
Volkswagen,Polo,2011,30233,Hybrid,Manual,First Owner,1531,161,4,1167814
BMW,320,2023,55231,Petrol,Manual,Third Owner,3628,268,7,3983170
Hyundai,Tucson,2016,17867,Diesel,Manual,Third Owner,3940,106,4,1596564
BMW,X3,2023,248375,Petrol,Automatic,Third Owner,1248,254,7,3111417
Volkswagen,Polo,2019,213207,Hybrid,Manual,Third Owner,2088,340,4,1834970
Volkswagen,Passat,2017,25430,Petrol,Manual,First Owner,3970,188,7,1616411
Hyundai,Elantra,2014,142938,Hybrid,Manual,Third Owner,3561,161,7,1774249
Volkswagen,Tiguan,2021,200587,Petrol,Automatic,Third Owner,2878,288,4,2011523
BMW,320,2020,137302,Diesel,Manual,Third Owner,3457,296,5,3290451
Mercedes,GLA,2018,226473,Diesel,Automatic,Third Owner,2763,235,7,2954742
BMW,X3,2014,103320,Hybrid,Automatic,Second Owner,2853,299,5,3618442
Toyota,RAV4,2009,79575,Hybrid,Manual,Third Owner,1553,224,4,1634153
Mercedes,C200,2014,229321,Diesel,Manual,Third Owner,2130,353,7,2904419
Kia,Cerato,2012,29716,Petrol,Automatic,Second Owner,1639,140,5,1110946
Mercedes,GLA,2015,66078,Diesel,Automatic,First Owner,3336,274,7,3466382
BMW,X3,2010,194682,Diesel,Automatic,First Owner,2999,365,4,3132077
Kia,Cerato,2017,14796,Hybrid,Automatic,First Owner,1229,241,5,1702725
Ford,Mondeo,2021,248858,Petrol,Manual,Third Owner,3673,378,4,2040089
Volkswagen,Tiguan,2020,19189,Diesel,Manual,Second Owner,3211,359,4,2306131
Mercedes,GLA,2015,45159,Petrol,Automatic,Second Owner,3437,364,7,3889662
Toyota,Corolla,2021,80964,Diesel,Manual,First Owner,2376,112,5,1801815
Kia,Cerato,2009,148694,Diesel,Automatic,First Owner,2632,326,5,1731396
Ford,Kuga,2012,204762,Petrol,Automatic,Third Owner,1811,319,5,1419292
Volkswagen,Tiguan,2014,152106,Hybrid,Manual,First Owner,1293,206,5,1238759
Mercedes,GLA,2010,34499,Hybrid,Automatic,Second Owner,2496,248,4,3811405
Mercedes,E200,2008,206767,Diesel,Manual,Second Owner,3524,296,7,2763948
BMW,X5,2009,247276,Petrol,Manual,Third Owner,2531,149,7,2209687
Ford,Focus,2011,198876,Petrol,Manual,Third Owner,1604,217,4,931729
Mercedes,GLA,2011,84984,Diesel,Automatic,First Owner,2359,177,7,2906094
Kia,Rio,2014,148241,Hybrid,Automatic,Third Owner,2978,388,7,2298563
BMW,X3,2008,103725,Hybrid,Manual,Second Owner,1697,100,5,2411050
BMW,X3,2016,18915,Diesel,Manual,First Owner,2591,208,7,3088791
